#id,x,y
0,125.0,0.0
1,200.0,0.0
2,100.0,100.0
3,100,0
4,150.0,0.0
5,100,0
6,100.0,75.0
7,150.0,0.0
8,100,0
9,100.0,75.0
10,100,0
11,100.0,125.0
12,100,0
13,200,0
14,100,0
15,100,0
16,100.0,100.0
17,200,0
18,100.0,75.0
19,200,0
20,100,0
21,100,0
22,100,0
23,200.0,0.0
24,150.0,0.0
25,175.0,0.0
26,100,0
27,100.0,50.0
28,100,0
29,100,0
30,100,0
31,225.0,0.0
32,100,0
33,125.0,0.0
34,100,0
35,200.0,0.0
36,100.0,125.0
37,100.0,75.0
38,125.0,0.0
39,100,0
40,100.0,100.0
41,100.0,150.0
42,100,0
43,200,0
44,100,0
45,100,0
46,100.0,25.0
47,100,0
48,150.0,0.0
49,100,0
50,100,0
51,200,0
52,100.0,50.0
53,100,0
54,200.0,0.0
55,100,0
56,100.0,125.0
57,100,0
58,100,0
59,100,0
60,100.0,75.0
61,100,0
62,100,0
63,100,0
64,100.0,125.0
65,100,0
66,100,0
67,100,0
68,200,0
69,100,0
70,100.0,125.0
71,100,0
72,100,0
73,100,0
74,100,0
75,100,0
76,100.0,75.0
77,100,0
78,150.0,0.0
79,100,0
80,100,0
81,100,0
82,100,0
83,225.0,0.0
84,100,0
85,100,0
86,100,0
87,100,0
88,175.0,0.0
89,100,0
90,100,0
91,100,0
92,200,0
93,200,0
94,100,0
95,100,0
96,100.0,100.0
97,100,0
98,125.0,0.0
99,175.0,0.0
